feature_number,feature_name,feature_group,formula_for_report,observable_at_1550_ET_on_day_t,why_no_lookahead_bias,next_check
1,r_on_mean_5,return_or_return_derived,"r_on_mean_5,i,t = (1/5) Σ_{j=0}^{4} r_ON,i,t-j, where r_ON,i,u = Open_adj,i,u / Close_adj,i,u-1 - 1.",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
2,on_mom_5_20,return_or_return_derived,"on_mom_5_20_i,t = r_on_mean_5_i,t - r_on_mean_20_i,t.",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
3,r_on_lag1,return_or_return_derived,"r_on_lag1_i,t = r_ON,i,t-1 = Open_adj,i,t-1 / Close_adj,i,t-2 - 1.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
4,gap_vs_on_mean20,return_or_return_derived,"gap_vs_on_mean20_i,t = r_on_today_i,t - r_on_mean_20_i,t.",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
5,on_reversal_1d,return_or_return_derived,"on_reversal_1d_i,t = - r_on_today_i,t.",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
6,r_on_today,return_or_return_derived,"r_on_today_i,t = r_ON,i,t = Open_adj,i,t / Close_adj,i,t-1 - 1.",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
7,r_cc_mean_5_lag1,return_or_return_derived,"r_cc_mean_5_lag1_i,t = (1/5) Σ_{j=1}^{5} r_CC,i,t-j.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
8,r_on_mean_20,return_or_return_derived,"r_on_mean_20,i,t = (1/20) Σ_{j=0}^{19} r_ON,i,t-j, where r_ON,i,u = Open_adj,i,u / Close_adj,i,u-1 - 1.",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
9,cc_mom_5_20,return_or_return_derived,"cc_mom_5_20_i,t = r_cc_mean_5_lag1_i,t - r_cc_mean_20_lag1_i,t.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
10,r_on_today_to_vol20,return_or_return_derived,"r_on_today_to_vol20_i,t = r_on_today_i,t / (vol_20_lag1_i,t + ε).",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
